Bdataset_number/I:physics_short/C:crossSection_pb/D:kFactor/D:genFiltEff/D:crossSectionTotalRelUncertUP/D
#1;95;0cid/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb
# DSID	xsec	           k-fac	   eff		      rel. unc.
##########################################################################################################################
# ttbar
410351   831.76            1.              0.45684            1.0
410470   729.77            1.1397          5.4379E-01         0.0
410471   729.78            1.1397          4.5628E-01         0.0
410472   729.77            1.1397          1.0546E-01         0.0
410001   783.73            1.06128386051   0.5442             0.0    
410002   611.1             1.36108656521   0.5442             0.0    
410003   694.59            1.19748340748   0.5442             0.0    
410004   696.32            1.19450827206   0.5442             0.0    
410006   696.35            1.19445681051   0.5442             0.0    
410007   696.21            1.195           0.457              0.0    
410008   694.44            1.19774206555   0.457              0.0    
410009   696.11            1.195           0.10534            0.0    
410500   730.28            1.13896039875   5.4401E-01         0.0    
410021   78.73             1.17            1.0000E+00         0.0    
410022   157.47            1.17            1.0000E+00         0.0    
410023   157.57            1.17            1.0000E+00         0.0    
410024   316.15            1.17            1.0000E+00         0.0    
410120   696.23            1.19466268331   0.034624           0.0    
407200   435.44            1.8743          4.9448E-01         0.0    
407201   436.63            1.8743          3.4424E-02         0.0    
407202   436.48            1.8743          1.1398E-02         0.0    
407203   436.48            1.8743          9.3489E-03         0.0    
407204   436.58            1.8743          3.7052E-03         0.0    
410232   696.33            1.19449111772   5.4393E-01         0.0    
410233   694.01            1.1984841717    5.4391E-01         0.0    
410225   711.28            1.16938477112   5.4735E-01         0.0    
410442   711.06            1.0             1.0724E-01         0.0 
410249   330.54            1.1484          1.0000E+00         0.0    
410250   158.76            1.0             1.0000E+00         0.0    
410251   158.97            1.0             1.0000E+00         0.0    
410252   76.277            1.1484          1.0000E+00         0.0    
410424   77.807            1.0             1.0000E+00         0.0
410501   730.17            1.13913198296   5.4383E-01         0.0    
410502   249.81            1.14121         1.000              0.0    
410503   76.932            1.139           1.000              0.0    
410525   730.15            1.13916318565   5.4384E-01         0.0    
410526   249.81            1.141217        1.000              0.0    
410527   76.929            1.139           1.000              0.0    
